"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"1 1 гороскоп",1700,1600,1500,1500,"Anywhere","",0,"",-17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1600,1600,320,720,1300,1300,1600,1900,1900,1900,1900,1900,1900,1600,2400,2400,2400,2400,1900,1900,1900,2400,2400,2400,2400,1900,1900,1900,1900,1900,1900,1600,1600,1900,1900,2400,2900,1900,1900,1900,1900,1600,1600,1600,1300,1600,1600,1300
"1 августа знак зодиака",4000,4000,4300,2900,"Anywhere","",0,"",-30,"","","","","","","","","","","","","","","","","1300","1300","1300","1900","2400","1300","1600","1300","1600","1600","1600","1600","","","","","","","","","","","","","1600","1600","1900","2900","2900","1600","1900","1900","2400","1900","1600","1900","1900","1900","1900","2900","2900","1900","","","","","","","","","","","","","","","4400","5400","4400","5400","5400","5400","5400","8100","8100","4400","5400","5400","",5400,3600,4400,4400,4400,4400,6600,6600,3600,4400,4400,4400,4400,3600,4400,3600,4400,4400,6600,8100,3600,3600,4400,5400,4400,4400,4400,4400,4400,4400,8100,8100,3600,4400,4400,4400,4400,3600,3600,3600,3600,3600,6600,8100,2900,2900,2900,2900
"1 апреля знак зодиака",6200,6000,5400,5400,"Anywhere","",0,"",-18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","2900","2900","2900","2900","3600","3600","2900","3600","3600","3600","2900","3600","3600","3600","4400","4400","4400","5400","4400","6600","6600","4400","4400","5400","4400","5400","6600","8100","8100","8100","8100","12100","9900","8100","8100","9900","8100","8100","8100","8100","",8100,6600,12100,9900,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,9900,9900,6600,5400,6600,6600,6600,6600,6600,6600,8100,6600,9900,9900,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,9900,8100,5400,4400,5400,5400,5400,5400,5400,5400
"1 июля знак зодиака",5800,5700,5100,4400,"Anywhere","",0,"",-24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","2900","2900","2400","2400","2400","2400","2400","2900","2400","","2400","2900","3600","3600","2900","2400","2900","2900","2900","3600","2900","2900","2900","3600","4400","4400","3600","2900","4400","3600","4400","5400","4400","4400","5400","5400","6600","6600","4400","4400","5400","5400","6600","6600","6600","6600","6600","8100","9900","9900","8100","6600","6600","6600","",6600,5400,6600,5400,6600,8100,9900,5400,6600,6600,6600,5400,6600,5400,5400,5400,6600,8100,8100,5400,5400,5400,5400,5400,6600,5400,6600,6600,6600,9900,9900,5400,5400,6600,5400,5400,6600,5400,5400,8100,5400,8100,8100,5400,4400,4400,4400,4400
"1 июня знак зодиака",5800,5700,4700,4700,"Anywhere","",0,"",-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","2400","3600","2900","2400","2400","2400","2900","2900","2900","3600","2900","","2900","4400","4400","2900","2900","2900","3600","3600","3600","4400","3600","3600","3600","5400","4400","4400","4400","3600","4400","4400","5400","6600","5400","5400","5400","8100","6600","5400","5400","5400","6600","8100","6600","8100","8100","8100","9900","12100","9900","9900","8100","8100","8100","8100","",9900,8100,8100,8100,12100,9900,6600,6600,6600,8100,6600,6600,8100,6600,8100,8100,12100,12100,6600,6600,5400,6600,6600,6600,8100,6600,6600,8100,9900,12100,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,8100,8100,5400,4400,4400,4400,4400,5400
"1 ноября знак зодиака",4500,4400,4800,5600,"Anywhere","",0,"",-30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","1600","1900","1900","1900","2900","2900","2400","2400","1900","","2400","2400","1900","2400","2400","2400","3600","3600","2900","2400","1900","2400","2400","2400","2400","2900","2900","2900","4400","5400","3600","4400","3600","3600","3600","3600","3600","4400","4400","4400","8100","8100","5400","6600","5400","6600","5400","6600","5400","6600","6600","6600","9900","9900","",5400,4400,5400,5400,5400,5400,5400,5400,5400,9900,8100,5400,5400,4400,5400,4400,4400,4400,4400,5400,5400,9900,8100,4400,5400,4400,4400,4400,5400,5400,5400,5400,5400,9900,9900,4400,5400,4400,4400,3600,3600,3600,3600,4400,4400,6600,6600,3600
"1 октября знак зодиака",6200,6200,6700,6500,"Anywhere","",0,"",-18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","2400","1900","1900","2400","2900","2900","2400","2400","2900","2400","","2400","2400","2400","2900","2900","3600","4400","2900","3600","2900","2400","2400","2900","2900","3600","3600","3600","4400","5400","3600","3600","5400","4400","4400","4400","4400","4400","4400","5400","8100","9900","8100","6600","8100","8100","8100","8100","8100","8100","8100","8100","12100","12100","8100","",8100,6600,6600,6600,6600,6600,6600,6600,9900,9900,6600,6600,6600,6600,6600,6600,5400,5400,6600,6600,12100,14800,5400,5400,6600,6600,6600,6600,6600,6600,6600,6600,12100,12100,6600,6600,6600,5400,6600,5400,5400,5400,5400,5400,9900,9900,5400,4400
"1 февраля знак зодиака",5300,4900,4500,4700,"Anywhere","",0,"",-19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","1900","2400","2400","2400","2400","2400","1900","3600","3600","","2400","2400","2400","2900","2900","2400","2900","2900","3600","4400","3600","2900","2900","2900","2400","2900","3600","2900","3600","3600","4400","6600","5400","4400","4400","4400","4400","4400","4400","4400","5400","6600","6600","12100","9900","6600","6600","6600","6600","8100","8100","6600","6600","8100","",12100,9900,6600,6600,6600,6600,6600,5400,5400,6600,6600,6600,12100,8100,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,12100,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,9900,8100,5400,4400,4400,4400,4400,4400,4400,4400,4400,5400
"1 января знак зодиака",5300,5000,5100,5800,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400","3600","3600","4400","4400","4400","4400","4400","4400","5400","8100","8100","9900","6600","8100","6600","8100","6600","8100","8100","6600","6600","8100","",8100,5400,6600,6600,6600,5400,6600,6600,6600,6600,6600,8100,8100,5400,5400,5400,5400,5400,5400,6600,5400,6600,6600,8100,8100,5400,5400,5400,5400,6600,6600,6600,6600,6600,6600,8100,8100,5400,5400,4400,5400,4400,4400,4400,4400,5400,5400,6600
"10 апреля знак зодиака",5100,5100,4200,4400,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","3600","4400","8100","4400","3600","4400","4400","4400","5400","5400","5400","6600","6600","8100","12100","6600","5400","6600","6600","6600","6600","6600","",6600,5400,6600,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,9900,4400,4400,4400,5400,4400,5400,4400,4400,5400,5400,6600,12100,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,6600,12100,4400,3600,4400,4400,3600,4400,4400,4400
